comparison,split_a,uav_a,split_b,uav_b,overlap_cycles,sampled_points,robust_scaled_rmse,robust_scaled_mean_absolute_difference,near_duplicate
train-train,train,UAV_0086,train,UAV_0093,171,100,1.4126112891866587,0.8502878557284037,False
train-train,train,UAV_0097,train,UAV_0098,275,100,1.4148485081442699,0.7727793758602606,False
train-train,train,UAV_0066,train,UAV_0070,165,100,1.415268031610986,0.6889467695850319,False
train-train,train,UAV_0005,train,UAV_0006,213,100,1.4258409331989743,0.769578589042494,False
train-train,train,UAV_0006,train,UAV_0012,170,100,1.433451942233429,0.7313345471780743,False
train-train,train,UAV_0032,train,UAV_0048,174,100,1.4337636069394737,0.7073911653138397,False
train-train,train,UAV_0002,train,UAV_0039,253,100,1.4388153264360368,0.8069946736985665,False
train-train,train,UAV_0069,train,UAV_0070,170,100,1.4461349662124239,0.858113688657892,False
train-train,train,UAV_0002,train,UAV_0082,253,100,1.447130981243124,0.8552316242573221,False
train-train,train,UAV_0043,train,UAV_0094,321,100,1.4564729126106999,0.8948063818017309,False
train-train,train,UAV_0059,train,UAV_0099,145,100,1.4599417242262833,1.1769228425559926,False
train-train,train,UAV_0004,train,UAV_0008,267,100,1.4649069607777787,0.6707599474539023,False
train-train,train,UAV_0031,train,UAV_0032,183,100,1.470257476313935,0.9007810974653843,False
train-train,train,UAV_0095,train,UAV_0099,145,100,1.4923544008278362,0.7250756527365293,False
train-train,train,UAV_0083,train,UAV_0092,158,100,1.5060950411066671,0.8798444007302658,False
train-train,train,UAV_0012,train,UAV_0044,170,100,1.5385590970083516,0.6980401409148671,False
train-train,train,UAV_0011,train,UAV_0046,197,100,1.5386907586771765,0.7891677786771795,False
train-train,train,UAV_0034,train,UAV_0043,321,100,1.5450574989557464,0.9819592787821714,False
train-train,train,UAV_0026,train,UAV_0034,243,100,1.5491186321032744,0.9611635834240928,False
train-train,train,UAV_0017,train,UAV_0097,275,100,1.5537426844600555,1.0394324697712116,False
train-train,train,UAV_0003,train,UAV_0005,213,100,1.5540205859973069,0.7937116104585896,False
train-train,train,UAV_0022,train,UAV_0058,178,100,1.5558658809494692,0.8012393164612425,False
train-train,train,UAV_0046,train,UAV_0060,190,100,1.560386648621774,0.7696178393162653,False
train-train,train,UAV_0018,train,UAV_0096,447,100,1.5616289035991537,0.8873134943291274,False
train-train,train,UAV_0062,train,UAV_0097,246,100,1.5651821862921318,0.8168414095928564,False
train-train,train,UAV_0025,train,UAV_0041,193,100,1.566161755793307,1.0557304315666456,False
train-train,train,UAV_0045,train,UAV_0073,205,100,1.5941765633698706,0.9451933248099987,False
train-train,train,UAV_0006,train,UAV_0013,185,100,1.6109032851300906,0.8455891866838394,False
train-train,train,UAV_0007,train,UAV_0024,424,100,1.6125627089382515,1.0284878251746299,False
train-train,train,UAV_0018,train,UAV_0071,409,100,1.622163879861395,0.8886548526407563,False
train-train,train,UAV_0050,train,UAV_0095,161,100,1.6304058559240282,0.8948395228190392,False
train-train,train,UAV_0077,train,UAV_0098,255,100,1.6392951375010507,1.0772687227715159,False
train-train,train,UAV_0082,train,UAV_0098,285,100,1.6560421414727986,0.9058155430440528,False
train-train,train,UAV_0010,train,UAV_0071,409,100,1.659856234047248,1.0716494619200512,False
train-train,train,UAV_0018,train,UAV_0027,320,100,1.662597906143995,1.0544809848013805,False
train-train,train,UAV_0084,train,UAV_0098,226,100,1.6846303111401455,0.8940857120277187,False
train-train,train,UAV_0011,train,UAV_0042,193,100,1.6867353926760251,0.8338444654989468,False
train-train,train,UAV_0096,train,UAV_0097,275,100,1.6889340875396501,0.9439967738414041,False
train-train,train,UAV_0042,train,UAV_0045,193,100,1.7058589493297418,0.9177488077828755,False
train-train,train,UAV_0025,train,UAV_0038,193,100,1.7277518905094469,1.1347956095605236,False
train-train,train,UAV_0024,train,UAV_0071,409,100,1.7437443306720282,0.9834566915991664,False
train-train,train,UAV_0009,train,UAV_0016,344,100,1.763729928120528,0.8284247970570665,False
train-train,train,UAV_0098,train,UAV_0099,145,100,1.766177536928721,1.297777198422291,False
train-train,train,UAV_0002,train,UAV_0009,253,100,1.772261565695305,1.060638146174253,False
train-train,train,UAV_0002,train,UAV_0003,222,100,1.7900825130911593,1.0533960768665127,False
train-train,train,UAV_0002,train,UAV_0007,253,100,1.7950482229301632,1.071685048782826,False
train-train,train,UAV_0018,train,UAV_0055,447,100,1.7993779878096745,1.040102355535063,False
train-train,train,UAV_0006,train,UAV_0017,278,100,1.8306668075020762,1.2770423906985158,False
train-train,train,UAV_0006,train,UAV_0022,192,100,1.8371686414601653,0.8034775278489601,False
train-train,train,UAV_0011,train,UAV_0019,197,100,1.8594332379878056,1.2223874122366798,False
train-train,train,UAV_0094,train,UAV_0097,275,100,1.8737491001386644,1.0005267958098905,False
train-train,train,UAV_0003,train,UAV_0004,222,100,1.9166005911150703,0.9560822909491968,False
train-train,train,UAV_0055,train,UAV_0071,409,100,1.916858954346377,1.049092368857654,False
train-train,train,UAV_0071,train,UAV_0096,409,100,1.9312182256995314,1.1229780497613266,False
train-train,train,UAV_0073,train,UAV_0081,215,100,1.9681399139869187,1.1464054416400256,False
train-train,train,UAV_0006,train,UAV_0010,278,100,1.9769075038686739,1.3654088445715629,False
train-train,train,UAV_0072,train,UAV_0085,232,100,2.8871934088096305,1.4326079711859678,False
train-train,train,UAV_0057,train,UAV_0089,207,100,3.418228958953576,1.85282683670959,False
train-train,train,UAV_0089,train,UAV_0094,207,100,3.622208767234683,2.077721178116979,False
train-train,train,UAV_0035,train,UAV_0088,231,100,3.6798514139492373,1.928682639485192,False
train-train,train,UAV_0076,train,UAV_0099,145,100,3.868448087519413,1.9667933043476262,False
train-train,train,UAV_0031,train,UAV_0076,153,100,3.879571433401285,1.894405353661384,False
train-train,train,UAV_0027,train,UAV_0035,231,100,3.882012202629585,2.2891039249269443,False
train-train,train,UAV_0068,train,UAV_0099,145,100,4.103254862798164,2.387760426051446,False
train-train,train,UAV_0050,train,UAV_0068,161,100,4.21228422941978,2.1612368314175785,False
train-train,train,UAV_0078,train,UAV_0085,221,100,4.401438913575842,2.182567863877118,False
train-train,train,UAV_0011,train,UAV_0072,197,100,4.756836333106471,2.3344596426927446,False
train-train,train,UAV_0072,train,UAV_0078,221,100,4.992581337574159,2.2381155468150946,False
train-train,train,UAV_0001,train,UAV_0099,145,100,6.083003962632204,2.996114777404579,False
train-train,train,UAV_0001,train,UAV_0002,253,100,7.106359741764339,3.092343904584975,False
train-train,train,UAV_0085,train,UAV_0098,266,100,7.208969461406436,3.06437840010242,False
test-test,test,UAV_0133,test,UAV_0165,79,79,0.8166828534443656,0.5715041364359922,False
test-test,test,UAV_0133,test,UAV_0197,95,95,0.8173691646138169,0.576801092520445,False
test-test,test,UAV_0122,test,UAV_0197,95,95,0.825684160328513,0.5837407088825111,False
test-test,test,UAV_0165,test,UAV_0197,79,79,0.8258178706706719,0.5841666834009317,False
test-test,test,UAV_0165,test,UAV_0188,41,41,0.8315270536772857,0.5816522092942049,False
test-test,test,UAV_0109,test,UAV_0133,180,100,0.8336526621728009,0.578025838698977,False
test-test,test,UAV_0158,test,UAV_0188,41,41,0.8351064422119947,0.6132989996385245,False
test-test,test,UAV_0133,test,UAV_0188,41,41,0.8424626534759215,0.598868310036842,False
