uav_id,channel,window,available_points,endpoint_cycle,rolling_mean,rolling_sd,window_delta,window_slope
UAV_0021,telemetry_19,5,5,220,33511.20073268083,0.25181159925527036,0.3503686934709549,0.027199905997258612
UAV_0021,telemetry_19,20,20,220,33509.86643057214,1.0675333145973447,2.7600473593192874,0.1695830577996597
UAV_0021,telemetry_19,50,50,220,33508.1524840199,1.7212924674444146,5.485464095545467,0.11324253932914775
UAV_0021,telemetry_20,5,5,220,-164.8973841769026,0.0,0.0,0.0
UAV_0021,telemetry_20,20,20,220,-164.89738417690256,2.9160058604848984e-14,0.0,0.0
UAV_0021,telemetry_20,50,50,220,-164.8973841769026,0.0,0.0,0.0
UAV_0021,telemetry_21,5,5,220,34968.00208428131,0.43404123395690514,1.0300763193445164,0.16186913589699542
UAV_0021,telemetry_21,20,20,220,34966.70713119413,1.0551091472678582,3.8259977575507946,0.16463518401483032
UAV_0021,telemetry_21,50,50,220,34964.92068454887,1.7028596743052733,5.738996636333468,0.11057907268999999
UAV_0021,telemetry_22,5,5,220,23258.618244960213,59.890892715464574,-68.61607603056837,-25.68368196218544
UAV_0021,telemetry_22,20,20,220,23206.070859346153,73.30912339170587,89.73992109305254,4.61077072367313
UAV_0021,telemetry_22,50,50,220,23133.422314133993,97.81010250921695,226.97207315418564,4.596944631991729
UAV_0021,telemetry_23,5,5,220,-17494.416234864206,9.801226420964673,1.2472662696272891,-2.5047393447977813
UAV_0021,telemetry_23,20,20,220,-17472.21718685786,19.098504498327884,-45.08489348391595,-2.9844170700540555
UAV_0021,telemetry_23,50,50,220,-17442.26714684071,30.28008752723828,-99.7710489715646,-2.0005596833687678
UAV_0021,telemetry_24,5,5,220,-3740.1730366774536,2.750297876266301,-4.460473962265041,-0.729515981843815
UAV_0021,telemetry_24,20,20,220,-3726.018081018324,10.303405229973366,-31.1373951986252,-1.6519936926390875
UAV_0021,telemetry_24,50,50,220,-3705.4830406649,19.455149431080603,-68.44789547227401,-1.307307960820695
UAV_0021,telemetry_25,5,5,220,-174.33899198582213,0.19993190066783964,-0.24306819360270993,-0.006076704840066327
UAV_0021,telemetry_25,20,20,220,-173.88627747523705,0.47363226865190633,-0.6988210566078408,-0.05752309318530787
UAV_0021,telemetry_25,50,50,220,-173.23971608025377,0.6818954415790226,-1.5191762100170365,-0.0411829886003855
UAV_0021,telemetry_26,5,5,220,-7667.504965417169,5.956385515182595,-9.472668376306501,-1.736655868989601
UAV_0021,telemetry_26,20,20,220,-7638.390862687865,22.98794394292461,-65.16047640672059,-3.745578112021629
UAV_0021,telemetry_26,50,50,220,-7596.775708207404,39.95825058057132,-141.3723992524683,-2.6766620160646415
UAV_0021,telemetry_27,5,5,220,969.0302044744709,1.2710574864626038e-13,0.0,0.0
UAV_0021,telemetry_27,20,20,220,969.0302044744709,1.1664023441939594e-13,0.0,0.0
UAV_0021,telemetry_27,50,50,220,969.0302044744708,0.0,0.0,0.0
UAV_0021,telemetry_28,5,5,220,-9904.850198330885,48.78560376500936,-67.02977484405346,-13.749027755877796
UAV_0021,telemetry_28,20,20,220,-9879.985143704578,35.94699697637735,-114.93097261974071,-2.9023517614466736
UAV_0021,telemetry_28,50,50,220,-9824.315792449848,58.10124647504633,-263.7113508161583,-3.4816334978700687
UAV_0022,telemetry_01,5,5,192,90.88630853075483,11.047121809132314,6.717436398196057,-0.44077872506249915
UAV_0022,telemetry_01,20,20,192,88.06001597886672,13.07573793276181,7.602307595939351,0.20013374405699483
UAV_0022,telemetry_01,50,50,192,89.33498092588201,12.018988830352184,-17.48734225298621,-0.09428667743161337
UAV_0022,telemetry_02,5,5,192,9.134990261691367,9.151826722414711,0.2102849061026575,-1.9897344208449712
UAV_0022,telemetry_02,20,20,192,10.455235307876048,8.425198686110097,4.952147988290025,-0.3041344243657007
UAV_0022,telemetry_02,50,50,192,11.515025232378541,8.307281885163395,-8.384545681539196,-0.09503088624524253
UAV_0022,telemetry_03,5,5,192,30377.825049386087,1.791496797849705e-11,0.0,0.0
UAV_0022,telemetry_03,20,20,192,30377.825049386087,1.0457628036216096e-11,0.0,0.0
UAV_0022,telemetry_03,50,50,192,30377.82504938608,8.084809807823562e-12,0.0,0.0
